Program:    MAESPA                                                                          
Water balance parameters:Tumbarumba example water balance                       
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     11     2879.1663      1379.1663         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0012         0.0522         0.3998         1.0000       109.8449       -71.5646       -45.6326         7.3527       373.3912       338.8463       417.4563       -24.1688         0.4698        15.7800        13.3697        14.1927         0.3837         0.4000         0.0000
      1     12     2879.0869      1379.0869         0.0000         0.0000         0.0000         0.0000         0.0000         0.0329         0.0000         0.0018         0.0000        -0.0109         2.9974         0.0013         0.0447         0.3998         1.0000       124.2832       -61.3185       -72.0783         9.1133       340.1427       343.2752       443.8200       -19.6932         0.4698        16.0500        13.0108        14.0240         0.3827         0.3999         4.7920
      1     13     2878.9539      1378.9537         0.0000         0.0000         0.0000         0.0000         0.0000         0.0964         0.0000         0.0018         0.0000        -0.0109         2.9974         0.0013         0.0350         0.3997         1.0000       180.3484       -48.0547      -151.1216        18.8276       238.7155       382.5591       563.4136        18.8289         0.4698        15.7700        11.5800        13.5801         0.3817         0.3996         3.7102
      1     14     2878.7576      1378.7576         0.0000         0.0000         0.0000         0.0000         0.0000         0.1702         0.0000         0.0018         0.0000        -0.0109         2.9974         0.0014         0.0240         0.3997         1.0000       180.1223       -33.0677      -171.7326        24.6777       207.4546       503.2341       729.5371       133.9050         0.4698        16.1100        10.3739        13.0266         0.3807         0.3991         2.5439
      1     15     2878.4900      1378.4899         0.0000         0.0000         0.0000         0.0000         0.0000         0.2505         0.0000         0.0018         0.0000        -0.0109         2.9973         0.0014         0.0155         0.3996         1.0000       206.2313       -21.3508      -208.9319        24.0512       160.9539       614.9917       882.6687       235.6357         0.4698        17.2300         9.8990        12.5707         0.3796         0.3984         2.2738
      1     16     2878.1687      1378.1686         0.0000         0.0000         0.0000         0.0000         0.0000         0.3051         0.0000         0.0018         0.0000        -0.0109         2.9973         0.0014         0.0142         0.3996         1.0000       265.6081       -19.6001      -263.7972        17.7891        98.4580       719.2307      1040.0012       325.3767         0.4698        17.9900        10.2552        12.3585         0.3784         0.3975         2.1907
      1     17     2877.7837      1377.7837         0.0000         0.0000         0.0000         0.0000         0.0000         0.3700         0.0000         0.0018         0.0000        -0.0109         2.9973         0.0014         0.0131         0.3995         1.0000       320.3139       -18.0089      -321.0209        18.7151        29.2036       820.3700      1202.8689       415.2578         0.4698        18.5800         9.9197        12.1236         0.3770         0.3965         2.1574
      1     18     2877.3008      1377.3007         0.0000         0.0000         0.0000         0.0000         0.0000         0.4785         0.0000         0.0018         0.0000        -0.0110         2.9973         0.0014         0.0031         0.3994         1.0000       339.2780        -4.3305      -367.7673        32.8193       -37.6100       919.8527      1356.4141       512.2241         0.4698        19.6500         7.8415        11.4716         0.3754         0.3951         2.1407
      1     19     2876.7620      1376.7620         0.0000         0.0000         0.0000         0.0000         0.0000         0.5277         0.0000         0.0018         0.0000        -0.0110         2.9973         0.0015         0.0089         0.3992         1.0000       427.3109       -12.1889      -430.0809        14.9582      -101.4115      1015.2781      1493.5190       587.6531         0.4698        20.8400         9.5172        11.4652         0.3736         0.3935         2.1333
      1     20     2876.1450      1376.1449         0.0000         0.0000         0.0000         0.0000         0.0000         0.6065         0.0000         0.0018         0.0000        -0.0110         2.9973         0.0015         0.0090         0.3991         1.0000       476.5109       -12.3922      -480.3019        16.1826      -161.4673      1102.3047      1639.7472       664.3774         0.4698        21.7400         9.3472        11.3854         0.3715         0.3918         2.1254
      1     21     2875.4197      1375.4197         0.0000         0.0000         0.0000         0.0000         0.0000         0.7173         0.0000         0.0018         0.0000        -0.0110         2.9972         0.0015         0.0061         0.3989         1.0000       504.9436        -8.4423      -521.6322        25.1312      -217.2282      1183.8799      1767.4160       741.9164         0.4698        23.0500         8.0900        11.0208         0.3692         0.3897         2.1285
      1     22     2874.6016      1374.6016         0.0000         0.0000         0.0000         0.0000         0.0000         0.8043         0.0000         0.0018         0.0000        -0.0111         2.9972         0.0015         0.0119         0.3987         1.0000       566.0583       -16.4192      -565.7013        16.0617      -264.4303      1255.2021      1871.5957       800.6694         0.4698        24.6200         8.9099        10.9875         0.3664         0.3874         2.1352
      1     23     2873.7346      1373.7345         0.0000         0.0000         0.0000         0.0000         0.0000         0.8490         0.0000         0.0018         0.0000        -0.0111         2.9972         0.0015         0.0163         0.3984         1.0000       624.0991       -22.4668      -602.9536         1.3207      -297.3191      1309.8337      1959.0189       839.5067         0.4698        25.7400        10.8134        11.3968         0.3635         0.3849         2.1347
      1     24     2872.8757      1372.8756         0.0000         0.0000         0.0000         0.0000         0.0000         0.8400         0.0000         0.0018         0.0000        -0.0112         2.9971         0.0015         0.0170         0.3982         1.0000       582.7864       -23.3036      -560.7514         1.2686      -245.2511      1256.8655      1873.7395       792.2568         0.4698        26.3800        11.2292        11.7173         0.3605         0.3825         2.1344
      1     25     2871.9614      1371.9613         0.0000         0.0000         0.0000         0.0000         0.0000         0.8822         0.0000         0.0018         0.0000        -0.0112         2.9971         0.0016         0.0302         0.3979         1.0000       657.6663       -41.4234      -601.2164       -15.0267      -278.2127      1309.6836      1956.3577       826.2454         0.4698        27.4500        13.7086        12.4968         0.3572         0.3800         2.1343
