Program:    MAESPA                                                                          
Water balance parameters:Tumbarumba example water balance                       
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      4     30     2811.8281      1311.8309         0.0000         0.0000         0.0000         0.0000         0.0000         0.9591         0.0000         0.0018         0.0000        -0.0136         2.9943         0.0068         0.0186         0.3805         1.0000       607.9416       -25.3549      -561.5541       -21.0329      -190.1092      1265.3831      1884.2949       756.4938         0.4698        32.2000        20.3971        17.1083         0.1617         0.2136         2.1359
      4     31     2810.8896      1310.8927         0.0000         0.0000         0.0000         0.0000         0.0000         0.9161         0.0000         0.0018         0.0000        -0.0137         2.9942         0.0068         0.0204         0.3802         1.0000       570.2805       -27.7960      -521.6517       -20.8336      -138.0926      1201.3525      1786.5715       696.9563         0.4698        32.4400        21.1851        17.8128         0.1613         0.2109         2.1440
      4     32     2809.9929      1309.9958         0.0000         0.0000         0.0000         0.0000         0.0000         0.8752         0.0000         0.0018         0.0000        -0.0137         2.9942         0.0069         0.0200         0.3800         1.0000       508.4088       -27.2073      -466.3840       -14.8171       -76.0918      1125.4045      1662.4258       633.8621         0.4698        32.8100        20.7167        18.1491         0.1609         0.2084         2.1525
      4     33     2809.1550      1309.1581         0.0000         0.0000         0.0000         0.0000         0.0000         0.8089         0.0000         0.0018         0.0000        -0.0137         2.9941         0.0069         0.0271         0.3797         0.9989       491.5415       -36.8645      -427.5750       -27.1026       -12.4797      1043.6879      1524.2161       547.9327         0.4698        33.0000        23.4689        19.0637         0.1603         0.2061         2.1696
      4     34     2808.4004      1308.4033         0.0000         0.0000         0.0000         0.0000         0.0000         0.7219         0.0000         0.0018         0.0000        -0.0138         2.9941         0.0070         0.0310         0.3795         1.0000       450.1935       -42.0903      -379.2012       -28.9029        52.9508       955.9061      1399.2231       464.6089         0.4698        33.1900        24.7486        19.9329         0.1597         0.2041         2.1979
      4     35     2807.7249      1307.7279         0.0000         0.0000         0.0000         0.0000         0.0000         0.6432         0.0000         0.0018         0.0000        -0.0138         2.9940         0.0070         0.0304         0.3792         1.0000       388.6312       -41.2431      -324.2713       -23.1160       115.8461       860.1870      1258.4702       382.7176         0.4698        33.1300        24.4904        20.4176         0.1591         0.2024         2.2569
      4     36     2807.1521      1307.1552         0.0000         0.0000         0.0000         0.0000         0.0000         0.5367         0.0000         0.0018         0.0000        -0.0138         2.9940         0.0071         0.0343         0.3791         1.0000       363.7479       -46.4614      -289.8121       -27.4742       165.5157       758.1575      1111.1862       285.4347         0.4698        32.8700        25.8470        21.0824         0.1584         0.2009         2.4103
      4     37     2806.6875      1306.6908         0.0000         0.0000         0.0000         0.0000         0.0000         0.4280         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0071         0.0345         0.3789         1.0000       356.6477       -46.7707      -284.2924       -25.5857       174.0794       642.7056       995.9891       180.9779         0.4698        32.2500        26.1520        21.5849         0.1577         0.1998         2.9850
      4     38     2806.2764      1306.2797         0.0000         0.0000         0.0000         0.0000         0.0000         0.3844         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0072         0.0253         0.3788         1.0000       447.4849       -34.3389      -405.7889        -7.3572        10.3632       534.8684      1045.4644       101.6748         0.4698        31.4200        23.0466        21.1725         0.1572         0.1988         6.2049
      4     39     2806.2378      1306.2410         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0072         0.0369         0.3786         1.0000       127.5803       -49.9371       -43.6725       -33.9698       469.3874       443.7284       465.0995       -17.9464         0.4698        30.0500        27.9348        22.1640         0.1565         0.1988         0.0000
      4     40     2806.2063      1306.2097         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0072         0.0294         0.3786         1.0000       134.4959       -39.8783       -79.4984       -15.1187       408.4557       356.7532       425.4136       -88.9556         0.4698        28.1500        25.1824        22.0826         0.1559         0.1988         0.0000
      4     41     2806.1799      1306.1833         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0073         0.0245         0.3786         1.0000        88.5063       -33.2920       -48.4182        -6.7966       433.4132       441.3141       569.1459         5.4715         0.4698        26.9000        23.4426        21.6634         0.1554         0.1988            NaN
      4     42     2806.1553      1306.1586         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0073         0.0230         0.3786         1.0000        84.6885       -31.3098       -48.0864        -5.2928       429.0720       436.9619       556.3256         5.1412         0.4698        26.1900        22.7246        21.2753         0.1550         0.1988            NaN
      4     43     2806.1353      1306.1388         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0073         0.0181         0.3786         1.0000        67.3781       -24.6392       -43.2168         0.4777       424.7351       433.2320       552.2796         9.9673         0.4698        25.4100        21.1794        20.6834         0.1546         0.1988            NaN
      4     44     2806.1155      1306.1190         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0074         0.0182         0.3786         1.0000        71.9011       -24.7403       -44.8317        -2.3288       422.6578       431.2038       541.6061         8.0899         0.4698        25.0600        21.1519        20.3307         0.1542         0.1988            NaN
      4     45     2806.0974      1306.1008         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0074         0.0163         0.3786         1.0000        64.6101       -22.2676       -42.0754        -0.2671       420.9614       429.5782       541.3185        10.6626         0.4698        24.7700        20.3845        19.9241         0.1539         0.1988            NaN
      4     46     2806.0771      1306.0808         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0074         0.0182         0.3786         1.0000        80.5820       -24.8490       -49.9865        -5.7470       416.1508       424.9023       535.7243         2.1646         0.4698        23.9500        21.0834        19.8419         0.1535         0.1988            NaN
      4     47     2806.0605      1306.0642         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0074         0.0149         0.3786         1.0000        63.8386       -20.3185       -46.3145         2.7944       408.9163       417.7241       539.2985         4.8076         0.4698        22.7200        19.2774        19.3398         0.1532         0.1988            NaN
      4     48     2806.0400      1306.0437         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0075         0.0187         0.3786         1.0000        84.6656       -25.4690       -53.0100        -6.1870       409.4236       417.8312       526.3328        -2.2120         0.4698        22.8500        20.5912        19.3594         0.1529         0.1988            NaN
      5      1     2806.0198      1306.0236         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0075         0.0184         0.3786         1.0000        81.6194       -25.0966       -52.8371        -3.6857       406.5174       414.6940       533.9237        -2.7060         0.4698        22.3800        20.1060        19.2337         0.1525         0.1988            NaN
      5      2     2806.0000      1306.0038         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0075         0.0179         0.3786         1.0000        81.4396       -24.4631       -53.6242        -3.3519       404.3637       412.6445       530.6022        -3.7119         0.4698        22.0000        19.9138        19.1084         0.1521         0.1988            NaN
      5      3     2805.9802      1305.9840         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0076         0.0179         0.3786         1.0000        83.6393       -24.4619       -55.3830        -3.7937       402.0738       410.4128       529.0901        -5.7560         0.4698        21.6000        19.8792        19.0219         0.1518         0.1988            NaN
      5      4     2805.9614      1305.9653         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0076         0.0170         0.3785         1.0000        80.3460       -23.2403       -55.7315        -1.3749       397.9917       406.3723       528.2710        -6.6752         0.4698        20.8900        19.3017        18.8271         0.1514         0.1988            NaN
      5      5     2805.9436      1305.9475         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0076         0.0159         0.3785         1.0000        75.3477       -21.6464       -54.4672         0.7655       395.4942       403.9271       524.1701        -5.7332         0.4698        20.4500        18.6711        18.5586         0.1511         0.1988            NaN
      5      6     2805.9280      1305.9319         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0076         0.0141         0.3785         1.0000        68.9152       -19.2104       -54.3449         4.6402       389.0014       397.6313       519.4424        -6.3878         0.4698        19.2900        17.6118        18.1410         0.1508         0.1988            NaN
      5      7     2805.9143      1305.9183         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0076         0.0117         0.3785         1.0000        59.2842       -15.9706       -51.0921         7.7789       386.2608       395.2043       512.9149        -3.2326         0.4698        18.7700        16.5521        17.6335         0.1506         0.1988            NaN
      5      8     2805.9021      1305.9061         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0077         0.0105         0.3785         1.0000        56.1736       -14.3207       -50.1603         8.3078       383.5654       392.6932       506.1248        -2.5208         0.4698        18.2700        15.9349        17.1736         0.1504         0.1988            NaN
      5      9     2805.8901      1305.8942         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0077         0.0101         0.3785         1.0000        60.8663       -13.8573       -53.6776         6.6688       378.6563       388.0561       502.0684        -6.5024         0.4698        17.3600        15.8089        16.8522         0.1502         0.1988            NaN
      5     10     2805.8792      1305.8832         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0077         0.0092         0.3785         1.0000        57.0463       -12.6636       -51.6563         7.2740       378.3101       387.7771       501.3866        -4.4658         0.4698        17.2900        15.3624        16.5308         0.1500         0.1988            NaN
      5     11     2805.8718      1305.8760         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0077         0.0055         0.3785         1.0000        47.8392        -7.5305       -58.0752        17.7663       355.8954       335.4432       415.3794       -44.1661         0.4698        16.6800        12.8893        15.7238         0.1499         0.1988         0.0000
      5     12     2805.8379      1305.8422         0.0000         0.0000         0.0000         0.0000         0.0000         0.0248         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0077         0.0073         0.3785         1.0000        53.7648        -9.9540       -51.0850         7.2745       372.1415       371.6107       471.7519         3.1621         0.4698        16.1800        14.2321        15.5601         0.1498         0.1987         3.3221
      5     13     2805.7407      1305.7449         0.0000         0.0000         0.0000         0.0000         0.0000         0.0911         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0077         0.0044         0.3785         1.0000       123.3814        -6.0802      -135.3715        18.0708       258.8396       363.2250       528.5360         0.4871         0.4698        16.1900        11.8522        14.8501         0.1497         0.1985         4.1016
      5     14     2805.5801      1305.5845         0.0000         0.0000         0.0000         0.0000         0.0000         0.1541         0.0000         0.0018         0.0000        -0.0139         2.9939         0.0077         0.0046         0.3785         1.0000       170.9986        -6.2812      -178.7536        14.0361       208.4881       478.7626       697.7124       103.8020         0.4698        16.9000        11.9691        14.4435         0.1496         0.1981         2.7512
      5     15     2805.3105      1305.3148         0.0000         0.0000         0.0000         0.0000         0.0000         0.2640         0.0000         0.0018         0.0000        -0.0139         2.9938         0.0077         0.0040         0.3784         1.0000       200.3545        -5.4450      -212.0509        17.1412       163.2070       596.0299       862.6464       213.4512         0.4698        18.4100        10.9237        13.9174         0.1495         0.1974         2.3559
      5     16     2804.8706      1304.8749         0.0000         0.0000         0.0000         0.0000         0.0000         0.4381         0.0000         0.0018         0.0000        -0.0139         2.9938         0.0077        -0.0000         0.3784         1.0000       163.6001         0.0000      -214.5908        50.9909       118.4390       708.2714      1009.8546       348.8093         0.4698        20.5800         3.4435        11.7732         0.1495         0.1963         2.2131
      5     17     2804.3877      1304.3921         0.0000         0.0000         0.0000         0.0000         0.0000         0.4802         0.0000         0.0018         0.0000        -0.0139         2.9938         0.0077         0.0008         0.3782         1.0000       257.7674        -1.0609      -281.4145        24.7079        57.5899       814.7640      1125.4741       427.2618         0.4698        21.7200         6.6980        11.2917         0.1495         0.1951         2.1549
      5     18     2803.8171      1303.8215         0.0000         0.0000         0.0000         0.0000         0.0000         0.5676         0.0000         0.0018         0.0000        -0.0140         2.9938         0.0077         0.0012         0.3781         1.0000       315.2266        -1.6565      -334.2107        20.6408        -2.5547       914.3185      1293.9044       512.8420         0.4698        22.8300         7.0516        11.0034         0.1495         0.1937         2.1253
      5     19     2803.1753      1303.1799         0.0000         0.0000         0.0000         0.0000         0.0000         0.6362         0.0000         0.0018         0.0000        -0.0140         2.9937         0.0077         0.0036         0.3779         1.0000       400.9839        -5.0074      -400.4194         4.4421       -63.2219      1014.6725      1446.6558       586.2163         0.4698        24.1600        10.0908        11.5013         0.1494         0.1921         2.1080
      5     20     2802.4741      1302.4786         0.0000         0.0000         0.0000         0.0000         0.0000         0.6936         0.0000         0.0018         0.0000        -0.0140         2.9937         0.0077         0.0058         0.3777         1.0000       467.7277        -8.0009      -458.1147        -1.6127      -120.9728      1100.0547      1596.2388       651.8833         0.4698        24.6700        11.8327        12.1566         0.1493         0.1905         2.0931
      5     21     2801.7019      1301.7064         0.0000         0.0000         0.0000         0.0000         0.0000         0.7643         0.0000         0.0018         0.0000        -0.0140         2.9936         0.0078         0.0062         0.3775         1.0000       514.3490        -8.5223      -504.8071        -1.0201      -172.7649      1181.1780      1730.1227       720.0981         0.4698        25.4900        12.3664        12.6487         0.1491         0.1887         2.0841
      5     22     2800.8682      1300.8728         0.0000         0.0000         0.0000         0.0000         0.0000         0.8257         0.0000         0.0018         0.0000        -0.0141         2.9936         0.0078         0.0060         0.3773         1.0000       540.8713        -8.2267      -531.5276        -1.1165      -201.1722      1259.7406      1824.9856       786.2545         0.4698        26.4400        12.8783        13.0651         0.1490         0.1869         2.0363
      5     23     2800.0759      1300.0806         0.0000         0.0000         0.0000         0.0000         0.0000         0.7819         0.0000         0.0018         0.0000        -0.0141         2.9935         0.0078         0.0089         0.3771         1.0000       587.7747       -12.2249      -560.2076       -15.3412      -214.7263      1306.7899      1878.7723       809.9451         0.4698        26.2100        16.2225        14.1207         0.1488         0.1852         1.9952
      5     24     2799.3411      1299.3457         0.0000         0.0000         0.0000         0.0000         0.0000         0.7222         0.0000         0.0018         0.0000        -0.0142         2.9934         0.0078         0.0108         0.3768         1.0000       502.3736       -14.8040      -470.4342       -17.1346      -100.2779      1221.1576      1698.4065       728.5934         0.4698        26.6000        17.6500        15.0868         0.1486         0.1837         1.8998
      5     25     2798.6362      1298.6411         0.0000         0.0000         0.0000         0.0000         0.0000         0.6895         0.0000         0.0018         0.0000        -0.0142         2.9934         0.0078         0.0134         0.3766         1.0000       417.5109       -18.2213      -378.9962       -20.2934        17.4825      1185.7394      1534.8613       689.8429         0.4698        27.6800        19.2705        16.0709         0.1484         0.1824         1.7267
      5     26     2798.0818      1298.0867         0.0000         0.0000         0.0000         0.0000         0.0000         0.5323         0.0000         0.0018         0.0000        -0.0142         2.9933         0.0078         0.0202         0.3764         1.0000       312.0974       -27.4292      -250.7898       -33.8779       192.8235      1023.1842      1198.3107       527.3028         0.4698        28.5600        23.0630        17.5892         0.1480         0.1814         1.5182
      5     27     2797.5564      1297.5613         0.0000         0.0000         0.0000         0.0000         0.0000         0.5021         0.0000         0.0018         0.0000        -0.0142         2.9933         0.0079         0.0215         0.3763         1.0000       280.0482       -29.2624      -222.2463       -28.5392       229.2201       938.7147      1106.6582       450.7079         0.4698        29.0200        23.4896        18.6259         0.1475         0.1805         1.5030
      5     28     2796.5762      1296.5811         0.0000         0.0000         0.0000         0.0000         0.0000         0.9668         0.0000         0.0018         0.0000        -0.0143         2.9932         0.0079         0.0117         0.3761         1.0000       591.4951       -15.9354      -576.5739         1.0144      -220.3555      1364.6897      2008.5076       851.4970         0.4698        30.1400        18.4158        18.1055         0.1473         0.1788         1.9995
      5     29     2795.6475      1295.6525         0.0000         0.0000         0.0000         0.0000         0.0000         0.9093         0.0000         0.0018         0.0000        -0.0143         2.9932         0.0079         0.0177         0.3758         1.0000       595.6357       -24.0635      -552.4104       -19.1609      -168.4807      1319.4705      1880.5864       793.1105         0.4698        31.2000        22.0781        18.7447         0.1469         0.1773         1.9827
      5     30     2794.8188      1294.8240         0.0000         0.0000         0.0000         0.0000         0.0000         0.8065         0.0000         0.0018         0.0000        -0.0143         2.9931         0.0080         0.0204         0.3756         1.0000       511.5865       -27.6582      -462.6816       -21.2476       -55.8438      1165.0917      1646.8933       652.4250         0.4698        31.3200        23.1567        19.3901         0.1465         0.1760         1.9646
      5     31     2794.0815      1294.0867         0.0000         0.0000         0.0000         0.0000         0.0000         0.7135         0.0000         0.0018         0.0000        -0.0144         2.9930         0.0080         0.0220         0.3753         1.0000       456.7163       -29.9146      -404.9810       -21.8200        17.1511      1040.0730      1454.9075       537.8072         0.4698        31.3600        23.9288        19.9809         0.1461         0.1750         1.9642
      5     32     2793.5417      1293.5470         0.0000         0.0000         0.0000         0.0000         0.0000         0.5134         0.0000         0.0018         0.0000        -0.0144         2.9929         0.0080         0.0245         0.3751         1.0000       348.3353       -33.2916      -291.4459       -23.5981       157.1996       778.7571      1057.9829       301.6245         0.4698        31.5700        24.8988        20.5933         0.1456         0.1744         2.0143
      5     33     2792.8540      1292.8591         0.0000         0.0000         0.0000         0.0000         0.0000         0.6616         0.0000         0.0018         0.0000        -0.0144         2.9929         0.0081         0.0243         0.3749         1.0000       426.2795       -32.9966      -374.6284       -18.6549        56.5953       905.4282      1330.2703       418.4154         0.4698        32.0300        24.4893        20.8984         0.1451         0.1735         2.1873
      5     34     2792.2734      1292.2786         0.0000         0.0000         0.0000         0.0000         0.0000         0.5524         0.0000         0.0018         0.0000        -0.0145         2.9928         0.0081         0.0265         0.3747         1.0000       376.8330       -35.9196      -321.2256       -19.6877       122.9702       775.0296      1138.3491       300.8522         0.4698        31.7500        25.0187        21.2458         0.1446         0.1729         2.3219
      5     35     2791.6365      1291.6417         0.0000         0.0000         0.0000         0.0000         0.0000         0.6106         0.0000         0.0018         0.0000        -0.0145         2.9928         0.0081         0.0243         0.3746         1.0000       483.7022       -33.0313      -437.1427       -13.5283       -19.6565       771.2763      1248.4188       297.1237         0.4698        31.8400        24.0836        21.2674         0.1441         0.1722         2.7142
      5     36     2791.0464      1291.0516         0.0000         0.0000         0.0000         0.0000         0.0000         0.5634         0.0000         0.0018         0.0000        -0.0145         2.9927         0.0082         0.0251         0.3744         1.0000       502.2279       -34.0759      -455.7914       -12.3613       -43.0438       688.0945      1182.3423       223.9329         0.4698        31.6400        23.8659        21.2634         0.1436         0.1716         3.2210
      5     37     2790.5693      1290.5747         0.0000         0.0000         0.0000         0.0000         0.0000         0.4536         0.0000         0.0018         0.0000        -0.0145         2.9927         0.0082         0.0215         0.3742         1.0000       424.7430       -29.2981      -391.3153        -4.1301        21.4042       581.2831      1030.0645       141.9626         0.4698        30.8500        22.1335        20.8797         0.1432         0.1712         4.0255
      5     38     2790.1560      1290.1615         0.0000         0.0000         0.0000         0.0000         0.0000         0.3929         0.0000         0.0018         0.0000        -0.0145         2.9926         0.0082         0.0185         0.3741         1.0000       577.2072       -25.2626      -551.9751         0.0305      -175.7797       503.1964      1145.3026        81.1409         0.4698        30.3900        20.8732        20.3769         0.1428         0.1708         8.2895
      5     39     2790.1233      1290.1287         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0083         0.0312         0.3740         1.0000       134.4135       -42.2842       -62.4200       -29.7091       438.5554       386.4957       373.9722       -68.5234         0.4698        28.8200        26.6583        21.4254         0.1422         0.1708         0.0000
      5     40     2790.0969      1290.1025         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0083         0.0243         0.3740         1.0000       123.2555       -32.9557       -77.4642       -12.8360       403.9156       356.4471       425.0316       -84.1724         0.4698        27.4500        24.1469        21.4445         0.1417         0.1708         0.0000
      5     41     2790.0715      1290.0771         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0084         0.0237         0.3739         1.0000       100.2315       -32.1359       -55.4369       -12.6581       429.7448       437.9865       560.2321        -2.5605         0.4698        26.4800        24.1341        21.4847         0.1412         0.1708            NaN
      5     42     2790.0479      1290.0535         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0084         0.0219         0.3739         1.0000        92.3184       -29.6997       -54.8010        -7.8179       423.9677       432.1967       559.1178        -2.8038         0.4698        25.5300        23.1494        21.2997         0.1408         0.1708            NaN
      5     43     2790.0305      1290.0361         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0084         0.0156         0.3739         1.0000        62.8206       -21.2711       -44.6553         3.1055       419.5477       428.3915       553.2173         7.2937         0.4698        24.7300        20.6371        20.6224         0.1405         0.1708            NaN
      5     44     2790.0154      1290.0212         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0084         0.0132         0.3739         1.0000        58.3949       -17.9396       -44.4262         3.9712       414.2934       423.7821       537.0486         7.3795         0.4698        23.7800        19.7739        20.0289         0.1402         0.1708            NaN
      5     45     2790.0015      1290.0073         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0084         0.0122         0.3739         1.0000        61.7403       -16.6380       -47.1002         1.9981       410.0502       420.0231       531.8713         4.5533         0.4698        23.0100        19.6015        19.6235         0.1400         0.1708            NaN
      5     46     2789.9900      1289.9958         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0085         0.0098         0.3739         1.0000        51.8096       -13.3284       -44.2063         5.7251       405.8444       416.1220       530.8193         7.1210         0.4698        22.2600        18.3975        19.0802         0.1398         0.1708            NaN
      5     47     2789.9795      1289.9854         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0085         0.0085         0.3739         1.0000        48.0429       -11.6241       -42.4514         6.0329       404.0871       414.5374       523.0767         8.7849         0.4698        21.9400        17.7872        18.5954         0.1396         0.1708            NaN
      5     48     2789.9680      1289.9739         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0085         0.0099         0.3739         1.0000        61.1796       -13.5672       -47.5568        -0.0553       403.2216       413.6846       518.9949         3.5625         0.4698        21.7900        18.6072        18.4726         0.1394         0.1708            NaN
      6      1     2789.9570      1289.9631         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0085         0.0090         0.3739         1.0000        59.7805       -12.2231       -48.7132         1.1562       399.4557       410.1945       524.4156         2.1169         0.4698        21.1100        18.2244        18.2823         0.1392         0.1708            NaN
      6      2     2789.9480      1289.9540         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0085         0.0075         0.3739         1.0000        52.6695       -10.2832       -46.6890         4.3027       396.4269       407.2954       521.7430         3.8165         0.4698        20.5700        17.3577        17.9508         0.1391         0.1708            NaN
      6      3     2789.9395      1289.9457         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0085         0.0065         0.3739         1.0000        46.7975        -8.8437       -43.7552         5.8014       395.8259       406.7433       516.1534         6.7091         0.4698        20.4600        16.7034        17.5889         0.1389         0.1708            NaN
      6      4     2789.9304      1289.9365         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0085         0.0074         0.3739         1.0000        55.6033       -10.0998       -46.9410         1.4373       395.6455       406.5493       511.8814         3.4826         0.4698        20.4300        17.2797        17.4914         0.1388         0.1708            NaN
      6      5     2789.9197      1289.9259         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0085         0.0089         0.3739         1.0000        67.1744       -12.1949       -52.1776        -2.8020       394.5669       405.3986       515.2074        -1.9879         0.4698        20.2500        18.0946        17.6017         0.1386         0.1708            NaN
      6      6     2789.9084      1289.9147         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0086         0.0093         0.3739         1.0000        67.2035       -12.6538       -52.9187        -1.6306       392.8087       403.4854       519.7695        -3.1477         0.4698        19.9600        17.9530        17.6187         0.1384         0.1708            NaN
      6      7     2789.8987      1289.9050         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0086         0.0081         0.3739         1.0000        59.5413       -11.0211       -50.7037         2.1837       390.4005       401.1429       518.6108        -1.2282         0.4698        19.5300        17.1478        17.4372         0.1383         0.1708            NaN
      6      8     2789.8896      1289.8961         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0086         0.0071         0.3739         1.0000        56.7007        -9.7367       -50.4877         3.5233       387.7409       398.6696       513.4444        -1.2248         0.4698        19.0400        16.6768        17.2186         0.1381         0.1708            NaN
      6      9     2789.8801      1289.8865         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0086         0.0080         0.3739         1.0000        63.6420       -10.9620       -53.3030         0.6224       386.9484       397.7876       510.0467        -4.2486         0.4698        18.9100        17.0842        17.1769         0.1380         0.1708            NaN
      6     10     2789.8716      1289.8779         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0146         2.9926         0.0086         0.0066         0.3739         1.0000        51.0318        -9.0699       -48.5301         6.5677       384.3982       395.1288       511.9365         0.0333         0.4698        18.4700        15.7575        16.8321         0.1378         0.1708            NaN
