time,gpp_maespa_60
15:30:00,4.381559933
16:00:00,3.4227694
16:30:00,4.095771933
17:00:00,3.7327766
17:30:00,3.526193267
18:00:00,3.5299003
18:30:00,4.730363967
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0.1856212
06:00:00,1.451310167
06:30:00,2.3396181
07:00:00,3.035347067
07:30:00,3.651206967
08:00:00,4.1729321
08:30:00,4.618521033
09:00:00,4.915681867
09:30:00,5.168821
10:00:00,5.434979733
10:30:00,5.628612367
11:00:00,5.805675633
11:30:00,5.892965967
12:00:00,5.913021567
12:30:00,5.958887333
13:00:00,5.905685867
13:30:00,5.790702467
14:00:00,5.635135767
14:30:00,5.426738733
15:00:00,5.211809
15:30:00,4.939619
16:00:00,4.6174673
16:30:00,4.285139233
17:00:00,3.9056916
17:30:00,3.527884167
18:00:00,3.452462367
18:30:00,4.832178733
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0.1908041
06:00:00,1.439825267
06:30:00,2.279282267
07:00:00,2.921171833
07:30:00,3.426742967
08:00:00,3.856056733
08:30:00,4.185108333
09:00:00,4.5110741
09:30:00,4.865272
10:00:00,5.201154233
10:30:00,5.448092333
11:00:00,5.6597456
11:30:00,5.791673567
12:00:00,5.889969733
12:30:00,5.939997033
13:00:00,5.9612552
13:30:00,5.919935667
14:00:00,5.825965333
14:30:00,5.689386467
15:00:00,5.5064119
15:30:00,5.280613267
16:00:00,4.958478633
16:30:00,4.573169867
17:00:00,4.140838767
17:30:00,3.647830467
18:00:00,3.429262867
18:30:00,4.847018333
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0.166763133
06:00:00,1.4551934
06:30:00,2.349160933
07:00:00,3.0100342
07:30:00,3.516190633
08:00:00,3.923071
08:30:00,4.2676733
